depa	ano	culti	precio
ANTI	2014	MAIZ BLANCO TRILLADO	1252,222222
ANTI	2014	MAIZ ENLATADO	7099,538462
ANTI	2014	MAIZ PIRA	2592,222222
ANTI	2014	MANDARINA COMUN	734,3636364
ANTI	2014	MANDARINA ONECO	1565,891304
ANTI	2014	MANGO COMUN	1029,914286
ANTI	2014	MANGO COSTENO	665,25
ANTI	2014	MANGO DE AZUCAR	1494,3
ANTI	2014	MANGO MANZANO	1101,666667
ANTI	2014	MANGO REINA	1200
ANTI	2014	MANGO TOMMY	1837,891304
ANTI	2014	MANZANA NACIONAL	2918,166667
ANTI	2014	MANZANA ROJA IMPORTADA	3451,972222
ANTI	2014	MANZANA ROYAL GALA IMPORTADA	3254,555556
ANTI	2014	MANZANA VERDE IMPORTADA	3372,333333
ANTI	2014	MARACUYA	1602,7
ANTI	2014	MARACUYA ANTIOQUENO	1564,5
ANTI	2014	MARACUYA HUILENSE	1817
ANTI	2014	MARACUYA VALLUNO	2042,5
ANTI	2014	MELON CANTALUP	1720,25
ANTI	2014	MORA DE CASTILLA	1928,487805
ANTI	2014	NARANJA COMUN	351,0882353
ANTI	2014	NARANJA VALENCIA	1015,916667
ANTI	2014	PAPA CAPIRA	1110,943662
ANTI	2014	PAPA CRIOLLA LIMPIA	1369,730769
ANTI	2014	PAPA NEVADA	1142,302083
ANTI	2014	PAPA PURACE	861,75
ANTI	2014	PAPA R-12 NEGRA	1040,333333
ANTI	2014	PAPAYA HAWAIANA	1458,4375
ANTI	2014	PAPAYA MARADOL	1529,270833
ANTI	2014	PAPAYA MELONA	1240,083333
ANTI	2014	PAPAYA REDONDA	1239,833333
ANTI	2014	PATILLA	678,6666667
ANTI	2014	PEPINO COHOMBRO	764,952381
ANTI	2014	PEPINO DE RELLENAR	2023,333333
ANTI	2014	PERA IMPORTADA	3430,833333
ANTI	2014	PERA NACIONAL	1597
ANTI	2014	PEREJIL	2580,25
ANTI	2014	PIMENTON	1162,333333
ANTI	2014	PIMENTON VERDE	1006
ANTI	2014	PINA GOLD	1277,388889
ANTI	2014	PINA MANZANA	925,875
ANTI	2014	PINA PEROLERA	812,5
ANTI	2014	PITAHAYA	4805,75
ANTI	2014	PLATANO COMINO	874,6666667
ANTI	2014	PLATANO DOMINICO VERDE	537,2
ANTI	2014	PLATANO GUINEO	477,6458333
ANTI	2014	PLATANO HARTON MADURO	993,9166667
ANTI	2014	PLATANO HARTON VERDE	872,9
ANTI	2014	RABANO ROJO	1363,833333
ANTI	2014	REMOLACHA	730,9333333
ANTI	2014	REMOLACHA BOGOTANA	732
ANTI	2014	REMOLACHA REGIONAL	574,5
ANTI	2014	REPOLLO BLANCO	371,2
ANTI	2014	REPOLLO BLANCO BOGOTANO	588,8333333
ANTI	2014	REPOLLO MORADO	367,6285714
ANTI	2014	TANGELO	2096,375
ANTI	2014	TOMATE CHONTO	1039,16
ANTI	2014	TOMATE CHONTO REGIONAL	1162,057143
ANTI	2014	TOMATE DE ARBOL	1393,082569
ANTI	2014	TOMATE LARGA VIDA	1973,666667
ANTI	2014	TOMATE RINON	1916
ANTI	2014	UCHUVA CON CASCARA	1710,447368
ANTI	2014	UVA IMPORTADA	5849
ANTI	2014	UVA ISABELA	2613,542857
ANTI	2014	UVA RED GLOBE NACIONAL	3817,2
ANTI	2014	UVA VERDE	3675,583333
ANTI	2014	YUCA CHIROSA	782,9444444
ANTI	2014	YUCA CRIOLLA	966,5
ANTI	2014	YUCA ICA	785,6666667
ANTI	2014	ZANAHORIA	528
ANTI	2014	ZANAHORIA BOGOTANA	813
ANTI	2014	ZANAHORIA LARGA VIDA	632,2380952
ANTI	2014	ZAPOTE	1199,6
ANTI	2015	ACELGA	985,3333333
ANTI	2015	AGUACATE COMUN	1623,586207
ANTI	2015	AGUACATE HASS	1824,733333
ANTI	2015	AGUACATE PAPELILLO	2904,291667
ANTI	2015	AHUYAMA	797,125
ANTI	2015	AJI TOPITO DULCE	1917,583333
ANTI	2015	AJO	4120,181818
ANTI	2015	AJO IMPORTADO	4301,4
ANTI	2015	APIO	712,0416667
ANTI	2015	ARRACACHA BLANCA	1570,605263
ANTI	2015	ARROZ DE PRIMERA	2924,269231
ANTI	2015	ARVEJA ENLATADA	5585,333333
ANTI	2015	ARVEJA VERDE EN VAINA	2407,787037
ANTI	2015	ARVEJA VERDE EN VAINA PASTUSA	2485,75
ANTI	2015	ARVEJA VERDE SECA IMPORTADA	2646,730769
ANTI	2015	BANANO BOCADILLO	870,7916667
ANTI	2015	BANANO CRIOLLO	604,7972973
ANTI	2015	BANANO URABA	646,3333333
ANTI	2015	BERENJENA	1215,583333
ANTI	2015	BOROJO	2963,333333
ANTI	2015	BREVA	3763,916667
ANTI	2015	BROCOLI	1250,666667
ANTI	2015	CALABACIN	842,5833333
ANTI	2015	CALABAZA	783,8333333
ANTI	2015	CEBOLLA CABEZONA BLANCA	1574,979167
ANTI	2015	CEBOLLA CABEZONA BLANCA IMPORTADA	864
ANTI	2015	CEBOLLA CABEZONA ROJA IMPORTADA	2658,583333
